"HF","Financing scheme","FS","Revenues of financing schemes","MEASURE","Measure","LOCATION","Country","TIME","Year","Value","Flag Codes","Flags"
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2006","2006",6.687,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2007","2007",6.782,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2008","2008",6.914,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2009","2009",7.763,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2010","2010",7.711,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2011","2011",7.543,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2012","2012",7.544,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2013","2013",7.452,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2014","2014",7.325,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2015","2015",7.672,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2016","2016",7.763,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2017","2017",7.625,"P","Provisional value"
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2018","2018",7.663,"P","Provisional value"
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2006","2006",100072.152,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2007","2007",106994.709,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2008","2008",114565.474,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2009","2009",121985.43,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2010","2010",128476.515,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2011","2011",133820.286,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2012","2012",137840.278,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2013","2013",141759.294,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2014","2014",146117.382,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2015","2015",152702.494,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2016","2016",157445.663,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2017","2017",163292.575,"P","Provisional value"
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2018","2018",170036.397,"P","Provisional value"
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2006","2006",106437.221,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2007","2007",111661.545,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2008","2008",117158.863,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2009","2009",123651.62,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2010","2010",128476.515,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2011","2011",130569.099,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2012","2012",132569.072,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2013","2013",133888.253,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2014","2014",135341.757,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2015","2015",139879.787,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2016","2016",142950.547,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2017","2017",146302.86,"P","Provisional value"
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2018","2018",149774.41,"P","Provisional value"
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2006","2006",71.325,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2007","2007",71.568,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2008","2008",71.73,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2009","2009",72.178,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2010","2010",71.879,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2011","2011",72.51,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2012","2012",72.515,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2013","2013",72.446,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2014","2014",72.373,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2015","2015",72.484,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2016","2016",71.744,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2017","2017",71.509,"P","Provisional value"
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2018","2018",71.388,"P","Provisional value"
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2000","2000",3.958,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2001","2001",4.386,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2002","2002",4.765,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2003","2003",4.986,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2004","2004",5.066,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2005","2005",5.077,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2006","2006",5.211,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2007","2007",5.3,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2008","2008",5.605,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2009","2009",6.243,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2010","2010",6.337,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2011","2011",6.317,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2012","2012",6.281,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2013","2013",6.266,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2014","2014",6.541,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2015","2015",6.752,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2016","2016",6.856,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2017","2017",6.8,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2000","2000",405793.159,,
